Layer,Name,GEOID,Longitude,Latitude,HCSDIAP_2016-2018,VRDIAR_2015-2019,VRDIBR_2015-2019,VRCAR_2015-2019,VRADR_2015-2019,HCSHYTP_2016-2018,HCSOBP_2016-2018,VRCHDR_2015-2019,HCSPAP_2016-2018,HCSSP_2016-2018,HCSRCP_2016-2018,HCSSMKP_2016-2018,HCSBDP_2016-2018,HCSFVP_2016-2018,HCSFVAP_2016-2018,LFA_2019,PMC_2020,UNS_2015-2019,HDX_2015-2019,VRLE_2019,HCSNCP_2016-2018,VRBWP_2013-2017,HCSOHSP_2016-2018,INC_2015-2019,POV_2015-2019,SNP_2015-2019,TNF_2015-2019,EDB_2015-2019,EDE_2015-2019,PCT-F_2015-2019,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,PCT-H_2015-2019,POP_2015-2019,POP-I_2015-2019,POP-J_2015-2019,POP-Y_2015-2019,POP-O_2015-2019,POP-S_2015-2019
Community area,Armour Square,34,-87.633976,41.842083,,13.3,36.9,156.5,19.4,,,75.3,54.5,,82.3,,,,78.1,18.8411405,9.42609763,7.890138468,90.94099942,80.73341299,66.9,8.8,56.7,33603.18811,37.39262374,31.49027613,3.256948768,63.46281254,23.52819951,52.68435792,14.60791202,19.13836618,60.79367426,4.900417856,13585.42411,646.554402,1632.604671,3504.552701,4437.375089,3364.337247
Community area,Douglas,35,-87.61868,41.835122,3.8,35.4,65.9,245.8,24.1,28.2,26.2,108.4,24.7,19.9,83.7,13.9,26.4,37.5,45.7,36.58106936,9.403034305,6.618991979,61.73841386,72.07632994,64.9,12,77.7,43607.38095,34.93128736,23.92135805,2.776549285,89.41365683,44.42877596,53.34551585,11.83290896,63.28382148,17.08393806,3.483089858,18763.46336,1059.61999,2401.171075,7892.274584,4598.731552,2811.666155
Community area,Oakland,36,-87.603217,41.823754,,68.9,126.7,298.9,9.8,20.5,33.8,120.1,41.6,26.1,81.5,,26.8,25.1,35.7,7.803663052,9.371635443,5.312645359,80.88065199,66.8346091,95,14.1,68.2,36117.46876,24.73031645,36.61243364,4.120333184,90.53390371,33.89857881,56.86913431,2.937098742,91.39485796,0.784862924,3.839890207,4425.440249,319.582259,1116.383684,1245.135502,1337.806111,406.532693
Community area,Fuller Park,37,-87.632427,41.809082,,20,65.1,288.8,19.9,,,91.9,32.7,47.4,64.8,36.3,53,,65.4,97.10123325,9.44334651,6.140286091,95.30105473,66.2994096,84.8,19.4,62,25681.97272,29.33868489,47.81816283,8.287209166,78.7730719,8.850113519,50.77679667,2.277224879,90.95418367,0.073537199,6.297364178,2396.551147,121.67215,300.284957,614.93866,727.347522,632.307858
Community area,Grand Boulevard,38,-87.61786,41.812947,5.3,36.9,74.7,258.5,15.7,40.5,34.2,102.9,31.5,26.7,85.3,16.2,21,32,64.5,10.53780485,9.408887373,7.026991212,78.99573848,73.8870092,79.6,12.4,84.9,40879.26322,29.02468275,38.62639954,3.565013617,87.01296281,32.68495871,58.55950814,3.71489584,91.14513896,0.90927736,1.971740057,22636.70095,1664.412708,3752.338531,6762.820992,7043.893573,3413.235141
Community area,Kenwood,39,-87.596186,41.808918,4.9,20.1,40.3,171.8,19.3,28.9,26.2,71.4,19.4,17.4,69.5,18.9,21.8,35.2,68.7,5.770261442,9.350775081,6.348883713,36.1475687,80.503191,75.3,10.3,87.6,59019.4863,19.4314313,17.59303329,1.246674877,94.38049253,59.61346555,54.89093416,18.97073979,66.63393197,6.938359941,2.648838285,14201.38874,1033.486368,1873.239063,4815.314448,4235.594302,2243.754558
Community area,Lincoln Square,4,-87.687513,41.975182,7,31,56.7,158.8,12.7,27.7,23,97.1,19.1,8.6,76.1,11.6,28.4,44.1,83.1,7.902761706,9.172839381,7.659872796,18.23854884,81.53719692,88.6,6.6,84.5,90456.56004,8.160976675,5.234430845,1.262475772,93.07048663,63.82224656,51.11315903,64.33268593,3.921056385,9.017600818,18.78526996,42033.84187,3239.513176,3882.570816,18125.71639,12874.41756,3911.623929
Community area,Washington Park,40,-87.617936,41.792356,,53,102.8,290.2,14.8,32.7,42.8,100.2,26.9,60.1,93.5,30.4,28,25,42.3,65.45696032,9.417802736,6.932927395,91.85211989,70.37679428,56.4,15.1,60.9,29350.62498,37.18427355,48.91580901,6.407337794,84.24428348,17.51158868,60.02580445,1.035642577,90.28025273,9.23E-05,4.624425642,10969.04305,921.77228,2459.641609,3841.403277,2903.549029,842.676857
Community area,Hyde Park,41,-87.592305,41.794088,1.7,14.1,35,144.2,23.5,18,15.4,64.5,14.7,8.2,71.4,8.6,14.5,29.4,75.4,12.35911569,9.350049274,5.592692056,30.34573245,82.67397973,90.9,7.8,91.7,67101.31103,20.82237568,5.22455518,1.016133427,96.88216465,79.74901434,52.81737456,51.46730344,23.44021969,13.51810005,7.562741125,22487.8871,741.612791,1867.99606,11463.37484,5231.46676,3183.43665
Community area,Woodlawn,42,-87.594924,41.778877,10.3,29.8,67.8,221.6,23.5,36.3,46.8,124.9,27.1,34.2,71.8,20.4,9.4,23.3,48.4,36.92125475,9.364003491,8.799483481,84.42099965,75.28139572,78.9,14.4,77.7,31305.03915,35.50761218,38.78081481,4.658255913,86.40474461,28.54311163,58.26961119,5.835211375,86.01079972,2.765147468,2.654173426,22922.63445,1532.935915,3719.960559,8309.407043,6598.228901,2762.102027
Community area,South Shore,43,-87.57279,41.761583,12.4,48.1,90.2,209.5,19.4,39.3,37.4,103.4,23.6,38.2,86.1,25,18.5,26.2,61.1,57.59598798,9.313794869,7.734179665,78.7679884,71.86893208,79.7,13.1,79.7,38934.18053,31.09504775,36.24945279,4.576844751,91.15998026,24.71046419,56.94146323,2.403549527,93.863653,0.224591028,2.136249366,43755.22352,3177.316623,7563.501365,13683.06268,13635.69315,5695.649708
Community area,Chatham,44,-87.615965,41.740206,12.9,29.4,72,192.4,33.6,36.5,40.5,103.6,30.4,27.4,89.9,31,22,26.2,65.8,55.05621117,9.438353519,11.25419744,77.80152283,72.0586293,87.7,14.2,84.2,45086.66102,23.78522912,31.80978101,4.452383979,88.05125186,25.86017539,54.80155538,1.479528562,96.14455114,0.668234582,0.845970773,31122.17415,2150.896051,4524.767112,8743.4843,10736.76936,4966.257335
Community area,Avalon Park,45,-87.586347,41.744197,12,32.2,63.9,198.5,27,43.5,54.4,81.3,33.7,50.8,85.1,30.4,15.9,9.3,48,19.1656069,9.362659744,5.288533958,77.64909705,74.62197903,76.7,11.8,73.3,48350.16392,20.80542813,22.76767834,2.463226155,89.27020048,27.19868203,57.03046783,0.976846631,96.54492813,0.673437585,0.092865881,9589.463276,647.947132,1050.646758,2508.283535,3268.20815,2114.377701
Community area,South Chicago,46,-87.551435,41.741243,15.7,33,67.9,223,20.7,33.3,45.2,104.3,40,41.4,94.5,35.3,13.6,22.1,59.3,25.35403261,9.263112319,9.701525158,84.17969262,71.69052552,74.9,12.7,76.6,40967.95555,28.83807625,38.05020282,3.922193549,82.77919825,18.35379491,54.72255481,2.643066325,77.54172387,0.627747387,18.46333712,28332.44889,2177.050616,5592.440985,8081.065533,8436.552299,4045.339452
Community area,Burnside,47,-87.59647,41.728181,,41.5,61.7,171.6,14.8,61.6,,104.1,,,97,,,,,94.25310114,9.397570875,15.4921796,84.34803017,72.64452209,60.4,15.3,58.9,30628.51913,15.70858549,33.20306901,1.578111403,84.59892719,15.04580758,50.46550726,0.499732563,96.26053398,0.000133518,1.944381286,1996.719897,34.966904,230.938338,594.086806,607.630127,529.097722
Community area,Calumet Heights,48,-87.57272,41.729673,15.6,33.5,66.3,188.3,33.2,30.2,35,86.2,32.7,50.1,84.4,14.9,13.6,24.9,70.1,40.11769051,9.330004941,6.954515434,60.03190369,74.76568444,87.1,13.9,77,49135.9522,15.66590332,20.463092,4.500694411,91.38300553,26.15145925,55.56832033,1.210590916,93.32184807,0.138748987,4.577751307,12798.74046,455.371558,1644.996122,3026.194307,4721.652188,2950.526286
Community area,Roseland,49,-87.623366,41.706588,17,34.6,67.5,209.8,31.6,33.5,52.4,112.2,31.6,33.2,88.7,27.1,16.3,16.9,57,66.60290131,9.448151366,7.34588743,84.03404449,71.46844891,83.4,14,75.4,44055.8256,23.40932363,35.99928701,4.774393069,85.12860109,20.60483611,53.01684053,1.60688351,94.72067869,0.545026817,1.233869652,39252.9895,2367.800003,6528.361729,10921.05947,12335.15358,7100.614715
Community area,North Center,5,-87.683839,41.947811,5.9,20.2,39.4,144.3,28.7,20.1,16.6,67.8,15.7,24.3,76.6,17.9,37.3,31.1,81.2,15.9023273,9.255100265,3.049887452,5.133677466,82.97156989,90.4,6.3,83.4,130550.3829,5.289348181,5.370080053,2.367809281,93.15537067,72.29927302,50.92597363,74.08862747,2.46555983,5.448641679,14.06902034,35603.0292,3120.653067,6033.147364,12963.39007,10569.45849,2916.380209
Community area,Pullman,50,-87.598252,41.706131,10.7,31.2,70.8,218.5,26.3,28.1,32.3,113.7,19.8,18,89.8,17.8,,36.6,71.6,77.87579885,9.396961736,5.939075808,65.16112645,73.14931057,82.8,14.9,87.9,42515.92784,19.74318662,30.26267347,3.039086967,89.33785629,22.82521129,56.15333443,6.326214151,86.9685,0.072764441,3.743132587,6881.377037,509.94857,758.323507,2113.015876,2421.694608,1078.394476
