Layer,Name,GEOID,Population,Longitude,Latitude,LFA_2019,VRDIBR_2015-2019,VRDIAR_2015-2019,VRDTH_2015-2019,VRCAR_2015-2019,VRADR_2015-2019,POP_2015-2019,POP-I_2015-2019,POP-J_2015-2019,POP-Y_2015-2019,POP-O_2015-2019,POP-S_2015-2019,INC_2015-2019,POV_2015-2019,HDX_2015-2019
Community area,Douglas,35,"17,630",-87.61868000,41.83512200,36.58,65.9,35.4,"1,153",245.8,24.1,"18,763","1,060","2,401","7,892","4,599","2,812","$43,607",34.93,61.7
Community area,Bridgeport,60,"33,593",-87.64878400,41.83615100,35.08,44.0,15.7,994,164.9,16.5,"34,484","1,659","4,709","12,151","11,417","4,548","$62,300",14.68,60.3
Community area,South Lawndale,30,"71,402",-87.71400000,41.83909100,4.79,64.3,31.1,"1,361",146.8,18.7,"72,091","5,232","13,884","27,749","18,529","6,697","$37,293",27.97,94.1
Community area,Armour Square,34,"13,847",-87.63397600,41.84208300,18.84,36.9,13.3,612,156.5,19.4,"13,585",647,"1,633","3,505","4,437","3,364","$33,603",37.39,90.9
Community area,Lower West Side,31,"33,716",-87.66757000,41.85027700,12.10,61.5,22.8,716,128.8,7.2,"33,050","1,786","4,586","14,594","8,841","3,243","$54,562",15.41,61.5
Community area,Near South Side,33,"27,044",-87.62034400,41.85719600,3.93,53.8,24.9,591,162.8,10.3,"19,810",707,"1,731","8,110","7,063","2,200","$112,133",10.26,2.6
Community area,North Lawndale,29,"34,817",-87.71721800,41.86019700,22.34,85.3,34.8,"1,772",244.2,21.3,"32,086","2,070","6,559","10,832","9,174","3,452","$32,051",38.14,88.7
Community area,Near West Side,28,"67,817",-87.66351300,41.87401600,16.39,76.6,35.3,"1,437",190.6,11.2,"63,280","3,687","5,780","34,521","14,673","4,618","$80,801",25.44,50.9
Community area,West Garfield Park,26,"17,423",-87.73023300,41.87860200,0.05,104.1,36.0,979,263.4,22.5,"16,415","1,328","3,513","5,010","4,607","1,956","$27,406",39.00,95.0
Community area,Loop,32,"39,135",-87.62519400,41.87888100,0.00,20.9,9.9,526,138.7,7.0,"35,958",981,"1,122","21,457","8,792","3,607","$124,159",11.38,4.3
Community area,East Garfield Park,27,"19,995",-87.70589200,41.87892300,52.34,97.3,43.3,"1,075",252.9,24.2,"18,951","1,435","4,234","5,967","5,387","1,928","$26,139",44.35,93.2
Community area,Austin,25,"96,753",-87.76311700,41.89411300,32.41,97.5,38.4,"5,066",230.9,26.2,"93,941","6,552","16,275","28,781","28,954","13,379","$43,187",25.38,76.5
Community area,Near North Side,8,"95,467",-87.63331800,41.89961100,0.00,22.6,8.2,"2,352",143.7,17.8,"84,576","3,257","3,145","43,140","21,336","13,697","$111,369",9.43,3.9
Community area,Humboldt Park,23,"53,832",-87.72091700,41.90008000,16.43,85.0,32.4,"1,798",173.0,16.6,"55,049","4,022","10,953","18,204","16,598","5,273","$41,646",26.68,86.8
Community area,West Town,24,"87,942",-87.67635800,41.90121600,0.61,62.6,19.2,"1,593",149.7,34.8,"84,715","5,311","6,175","48,627","19,560","5,043","$112,881",10.89,11.9
Community area,Lincoln Park,7,"63,433",-87.64949100,41.92269600,4.68,38.0,17.3,"1,420",156.7,34.2,"62,535","3,350","5,789","33,660","13,930","5,807","$133,792",9.15,1.6
Community area,Logan Square,22,"71,742",-87.69914900,41.92276800,0.01,70.7,27.5,"1,277",126.6,22.2,"72,410","4,878","7,986","36,710","17,704","5,133","$93,933",11.32,22.3
Community area,Hermosa,20,"24,127",-87.73474100,41.92435300,0.00,61.2,18.8,508,150.5,12.9,"23,534","1,558","3,932","8,165","7,382","2,496","$50,508",16.46,77.5
Community area,Belmont Cragin,19,"78,151",-87.76550200,41.92727500,0.01,61.1,27.5,"1,865",152.2,18.5,"78,649","5,244","15,743","24,964","25,118","7,581","$56,323",15.79,79.5
